year,exchange_rate_rs_per_usd_avg,exchange_rate_rs_per_sdr_avg,notes,source
2003,96.52,135.23,,CBSL Socio-Economic Data 2008
2004,101.19,149.88,,CBSL Socio-Economic Data 2008
2005,100.50,148.45,,CBSL Socio-Economic Data 2008
2006,103.96,153.00,,CBSL Socio-Economic Data 2008
2007,110.60,169.40,,CBSL Socio-Economic Data 2008
2008,108.30,171.20,,CBSL Socio-Economic Data 2010
2009,114.90,177.20,,CBSL Socio-Economic Data 2010
2010,113.06,172.50,,CBSL Socio-Economic Data 2015
2011,110.57,174.54,,CBSL Socio-Economic Data 2015
2012,127.60,195.38,,CBSL Socio-Economic Data 2015
2013,129.10,196.20,,CBSL Socio-Economic Data 2015
2014,130.60,198.40,,CBSL Socio-Economic Data 2015
2015,135.94,190.16,,CBSL Socio-Economic Data 2020
2016,145.60,202.39,,CBSL Socio-Economic Data 2020
2017,152.46,211.49,,CBSL Socio-Economic Data 2020
2018,162.54,229.90,,CBSL Socio-Economic Data 2020
2019,178.78,246.97,,CBSL Socio-Economic Data 2020 / 2025
2020,185.52,258.61,,CBSL Socio-Economic Data 2025
2021,198.88,283.18,,CBSL Socio-Economic Data 2025
2022,324.55,431.91,Rupee collapsed mid-2022 during sovereign default crisis,CBSL Socio-Economic Data 2025
2023,327.53,436.88,,CBSL Socio-Economic Data 2025
2024,302.12,401.07,Rupee appreciated as reserves recovered,CBSL Socio-Economic Data 2025
