survey_year,hh_size,mean_hh_income_rs,median_hh_income_rs,mean_percapita_income_rs,income_receiver_mean_income_rs,income_receivers_per_hh,mean_hh_expenditure_rs,food_expenditure_rs,nonfood_expenditure_rs,liquor_tobacco_expenditure_rs,food_ratio_pct,gini_hh_income,gini_hh_expenditure,gini_income_receivers,poverty_headcount_pct_2002base,source
1980/81,4.9,881,642,180,469,1.6,1232,801,377,54,,0.43,,,, HIES 1980/81 — DCS / CBSL Socio-Economic Data 2015 (not in 2025 report)
1985/86,5.1,2012,1322,395,941,2.0,2079,1198,802,79,57.6,0.46,,,, HIES 1985/86 — DCS / CBSL Socio-Economic Data 2025
1990/91,4.9,3549,2547,724,1819,2.0,3905,2377,1384,144,60.9,0.43,,0.52,26.1, HIES 1990/91 — DCS / CBSL Socio-Economic Data 2025
1995/96,4.5,6476,3793,1439,3367,1.8,6525,3552,2753,219,54.4,0.46,0.36,0.52,28.8, HIES 1995/96 — DCS / CBSL Socio-Economic Data 2025
2002,4.2,12803,8482,3056,6959,1.8,13147,5848,6993,306,44.5,0.47,0.41,0.53,22.7, HIES 2002 — DCS / CBSL Socio-Economic Data 2025
2005,4.1,20048,13617,4896,10563,1.9,19151,7593,11079,479,39.6,0.47,0.40,0.55,, HIES 2005 — DCS / CBSL Socio-Economic Data 2025
2006/07,4.1,26286,16735,6463,14457,1.8,22952,8641,13819,492,37.6,0.49,0.41,0.55,15.2, HIES 2006/07 — DCS / CBSL Socio-Economic Data 2025
2009/10,4.0,36451,23746,9104,20427,1.8,31331,13267,17399,665,42.3,0.49,0.37,0.55,8.9, HIES 2009/10 — DCS / CBSL Socio-Economic Data 2025
2012/13,3.9,45878,30814,11819,25963,1.8,41444,15651,25088,705,37.8,0.48,0.40,0.53,6.7, HIES 2012/13 — DCS / CBSL Socio-Economic Data 2025
2016,3.8,62237,43511,16377,33894,1.8,54999,19114,34829,1056,34.8,0.45,0.41,0.51,4.1, HIES 2016 — DCS / CBSL Socio-Economic Data 2025
2019,3.7,76414,53333,20527,42308,1.8,63130,22130,40040,960,35.1,0.46,0.40,0.52,3.2, HIES 2019 — DCS / CBSL Socio-Economic Data 2025
