hies_year,province,mean_hh_income_rs,mean_percapita_income_rs,mean_income_per_receiver_rs,median_hh_income_rs,total_hh_expenditure_rs,gini_hh_income,gini_income_receivers,survey_series,notes,source
2003/04,Western,25602,,14892,,20872,0.47,0.51,CFSES,Northern excl. Killinochchi+Mannar+Mullaitivu; expenditure per spending unit shown,CBSL Socio-Economic Data 2008
2003/04,Central,14029,,8830,,12427,0.42,0.47,CFSES,,CBSL Socio-Economic Data 2008
2003/04,Southern,13733,,8559,,13081,0.39,0.46,CFSES,,CBSL Socio-Economic Data 2008
2003/04,Northern,15204,,9228,,14461,0.44,0.52,CFSES,Excl. Killinochchi + Mannar + Mullaitivu,CBSL Socio-Economic Data 2008
2003/04,Eastern,13395,,9377,,13935,0.51,0.55,CFSES,,CBSL Socio-Economic Data 2008
2003/04,North Western,15792,,10276,,15326,0.42,0.47,CFSES,,CBSL Socio-Economic Data 2008
2003/04,North Central,15624,,11093,,12045,0.48,0.51,CFSES,,CBSL Socio-Economic Data 2008
2003/04,Uva,11178,,8022,,10740,0.43,0.46,CFSES,,CBSL Socio-Economic Data 2008
2003/04,Sabaragamuwa,12225,,7438,,10954,0.40,0.45,CFSES,,CBSL Socio-Economic Data 2008
2003/04,Sri Lanka (All Island),17109,,10754,,15471,0.46,0.50,CFSES,,CBSL Socio-Economic Data 2008
2012/13,Western,64152,16124,33564,42100,58298,0.47,0.54,HIES,,CBSL Socio-Economic Data 2015
2012/13,Central,40146,10104,22292,28900,38989,0.44,0.50,HIES,,CBSL Socio-Economic Data 2015
2012/13,Southern,41834,10973,23606,28921,36430,0.45,0.51,HIES,,CBSL Socio-Economic Data 2015
2012/13,Northern,34286,8339,18916,23571,34562,0.48,0.57,HIES,,CBSL Socio-Economic Data 2015
2012/13,Eastern,30676,7622,19836,22710,30886,0.45,0.50,HIES,,CBSL Socio-Economic Data 2015
2012/13,North Western,42756,11596,25854,29343,37665,0.47,0.53,HIES,,CBSL Socio-Economic Data 2015
2012/13,North Central,36632,9877,21848,29707,33935,0.39,0.47,HIES,,CBSL Socio-Economic Data 2015
2012/13,Uva,35638,9382,21909,24228,28867,0.48,0.54,HIES,,CBSL Socio-Economic Data 2015
2012/13,Sabaragamuwa,40375,10718,23134,27775,32376,0.46,0.52,HIES,,CBSL Socio-Economic Data 2015
2012/13,Sri Lanka (All Island),45878,11819,25963,30814,41444,0.48,0.53,HIES,,CBSL Socio-Economic Data 2015
2016,Western,84231,21665,43959,57514,74505,0.45,0.51,HIES,,CBSL Socio-Economic Data 2020
2016,Central,53053,13729,28328,40010,50334,0.42,0.49,HIES,,CBSL Socio-Economic Data 2020
2016,Southern,59375,15730,32354,43605,52271,0.42,0.49,HIES,,CBSL Socio-Economic Data 2020
2016,Northern,46081,11384,23286,34500,42537,0.44,0.52,HIES,,CBSL Socio-Economic Data 2020
2016,Eastern,43168,11259,27511,32621,38407,0.42,0.46,HIES,,CBSL Socio-Economic Data 2020
2016,North Western,60398,16671,33274,41977,55514,0.46,0.53,HIES,,CBSL Socio-Economic Data 2020
2016,North Central,60298,16567,35186,42092,48176,0.46,0.53,HIES,,CBSL Socio-Economic Data 2020
2016,Uva,51635,13867,29623,36597,39140,0.45,0.50,HIES,,CBSL Socio-Economic Data 2020
2016,Sabaragamuwa,49057,13157,26153,37043,42810,0.41,0.47,HIES,,CBSL Socio-Economic Data 2020
2016,Sri Lanka (All Island),62237,16377,33894,43511,54999,0.45,0.51,HIES,,CBSL Socio-Economic Data 2020
2019,Western,109813,,56762,,90243,0.46,0.52,HIES,,CBSL Socio-Economic Data 2025
2019,Central,65420,,36560,,56783,0.43,0.49,HIES,,CBSL Socio-Economic Data 2025
2019,Southern,68410,,37923,,57854,0.42,0.49,HIES,,CBSL Socio-Economic Data 2025
2019,Northern,55390,,31104,,44020,0.42,0.47,HIES,,CBSL Socio-Economic Data 2025
2019,Eastern,51536,,32787,,46947,0.42,0.47,HIES,,CBSL Socio-Economic Data 2025
2019,North Western,75148,,42321,,59681,0.44,0.52,HIES,,CBSL Socio-Economic Data 2025
2019,North Central,64645,,37996,,52337,0.43,0.50,HIES,,CBSL Socio-Economic Data 2025
2019,Uva,62363,,36078,,46237,0.50,0.54,HIES,,CBSL Socio-Economic Data 2025
2019,Sabaragamuwa,56335,,30695,,47215,0.39,0.46,HIES,,CBSL Socio-Economic Data 2025
2019,Sri Lanka (All Island),76414,,42308,,63130,0.46,0.52,HIES,,CBSL Socio-Economic Data 2025
