dataset_id,dataset_name,source_name,source_url,access_method,coverage_years,key_fields,citation,retrieval_date,methodology_notes,status,path
cbsl_socioeconomic_hies_national,HIES national summary,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,1985/86-2019,"survey_year|mean_income_monthly|median_income_monthly|mean_expenditure_monthly|gini|poverty_headcount","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/hies_national.csv
cbsl_socioeconomic_hies_expenditure_shares,HIES expenditure shares,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,1985/86-2019,"survey_year|category|share_pct","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/hies_expenditure_shares.csv
cbsl_socioeconomic_macro_indicators,Macro indicators,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,2003-2024,"year|gdp_current_lkr|gdp_constant_lkr|gni_per_capita|inflation_pct|unemployment_pct","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/macro_indicators.csv
cbsl_socioeconomic_cpi_subindices,CPI subindices,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,2003-2024,"year|cpi_series|category|index_level|change_pct","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/cpi_subindices.csv
cbsl_socioeconomic_wage_indices,Wage indices,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,2002-2024,"year|series|index_level|base_year","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/wage_indices.csv
cbsl_socioeconomic_exchange_rates,Exchange rates historical,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,2003-2024,"year|rs_per_usd_avg|rs_per_sdr_avg","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/exchange_rates_historical.csv
cbsl_socioeconomic_income_distribution,Income distribution historical,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,1953-2019,"survey_year|decile|income_share_pct|gini","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/income_distribution_historical.csv
cbsl_socioeconomic_province_income_expenditure,Province income and expenditure,CBSL Socio-Economic Data Folder,https://www.cbsl.gov.lk/en/publications/other-publications/statistical-publications/sri-lanka-socio-economic-data-folder,PDF tables,2016-2019,"survey_year|province|mean_income_monthly|mean_expenditure_monthly","Central Bank of Sri Lanka, Sri Lanka Socio-Economic Data Folder (2008-2025)",unknown,"Compiled from CBSL PDF tables; see data/cbsl-socioeconomic-2025/DATASET_README.md",existing,data/cbsl-socioeconomic-2025/province_income_expenditure_all_years.csv
cbsl_ess_national_accounts,National accounts,CBSL Economic & Social Statistics,https://www.cbsl.gov.lk,Excel/CSV download,~2000-present,"year|gdp_current_lkr|gdp_constant_lkr|gni_current_lkr|population","Central Bank of Sri Lanka, Economic & Social Statistics",pending,"Extract ESS national accounts tables with table IDs preserved",planned,data/cbsl-ess/national_accounts.csv
cbsl_ess_prices_inflation,Prices and inflation,CBSL Economic & Social Statistics,https://www.cbsl.gov.lk,Excel/CSV download,~2000-present,"year|ccpi_change_pct|ncpi_change_pct","Central Bank of Sri Lanka, Economic & Social Statistics",pending,"Extract ESS price tables with base year captured",planned,data/cbsl-ess/prices_inflation.csv
